joint,x,y,z
1,363.3172,285.10757,1370.5643
2,258.23154,298.9148,1421.4819
3,468.40286,271.30035,1319.6467
4,185.3399,153.39964,1238.6537
5,485.0196,99.546295,1254.9972
6,79.99097,129.62825,901.37915
7,279.32294,156.03671,1293.0897
8,337.291,104.99105,1365.6923
9,242.22264,-66.05401,1394.2734
10,380.3069,-84.19692,1327.367
11,225.35605,-358.65305,1409.7157
12,396.66388,-402.1322,1294.1606
13,247.93405,-782.99567,1481.4766
14,394.57117,-779.1682,1394.504
0,357.6645,428.99445,1401.9875
1,362.22653,287.74292,1373.7947
2,256.51038,300.5568,1422.5238
3,467.94266,274.92902,1325.0656
4,164.68106,169.78775,1239.4349
5,479.06482,108.81064,1243.0869
6,164.58884,147.66222,920.51855
7,290.72623,205.0097,1298.3624
8,336.82556,105.24693,1366.6776
9,242.66855,-68.9151,1391.2532
10,380.18063,-85.58298,1327.8679
11,222.9382,-423.92838,1372.2479
12,392.799,-418.29684,1323.1799
13,241.17532,-754.68304,1458.7843
14,393.8682,-776.58545,1390.933
0,358.4253,428.77454,1401.2733
1,350.87714,284.1862,1376.189
2,236.9769,294.0435,1424.8705
3,464.77737,274.3289,1327.5074
4,165.24039,164.28748,1243.7843
5,473.6286,103.92113,1236.3547
6,159.16373,144.05142,934.1332
7,294.3163,238.1836,1286.4762
8,330.94128,102.87336,1366.2582
9,241.31143,-72.40793,1386.115
10,380.69943,-84.47102,1326.5398
11,222.5094,-374.02606,1387.4999
12,392.79456,-440.54657,1317.4667
13,249.47826,-790.4099,1483.1888
14,394.16837,-776.6239,1384.4426
0,356.20068,426.26904,1401.0824
1,351.84705,284.12958,1372.9745
2,240.2081,293.7594,1424.426
3,463.486,274.49976,1321.523
4,164.27127,160.67232,1243.5054
5,472.1763,101.85722,1235.4207
6,92.54173,87.32923,926.32227
7,317.81378,250.70712,1275.4067
8,331.82492,101.787796,1363.6583
9,243.18234,-74.63489,1385.9677
10,380.42325,-86.47308,1322.7167
11,219.3893,-378.47906,1398.5824
12,391.71973,-422.2706,1308.2377
13,254.06888,-788.5548,1481.3927
14,391.62732,-769.3009,1381.1187
0,358.34296,426.2331,1400.3319
1,352.99472,280.54266,1375.4197
2,242.10509,289.70276,1428.6034
3,463.88437,271.3826,1322.236
4,169.02913,140.40736,1266.3018
5,475.7615,95.451996,1245.9937
6,101.15016,69.290146,939.29346
7,311.12628,253.85744,1284.4617
8,332.13757,101.14817,1362.8298
9,243.68497,-72.66258,1382.6594
10,378.8759,-83.83008,1317.8206
11,220.34392,-384.03693,1408.0833
12,390.1211,-411.21402,1294.6736
13,263.15747,-783.6744,1477.501
14,389.3043,-765.28107,1372.4238
0,360.07092,426.12378,1399.4288
1,354.82086,283.34616,1377.3854
2,246.30374,293.0888,1432.2142
3,463.33798,273.60352,1322.5565
4,174.00362,130.1324,1288.7317
5,474.9003,94.61571,1242.2244
6,117.97398,41.23072,972.51685
7,308.04706,251.38466,1271.0038
8,334.04825,106.54313,1367.6887
9,243.44934,-63.990913,1393.2721
10,383.10193,-76.52888,1322.712
11,210.12819,-385.52176,1424.6204
12,419.75122,-431.19083,1304.0339
13,260.39786,-786.2765,1468.2285
14,405.1345,-767.7036,1370.4064
0,360.88962,426.67685,1399.7242
1,356.62842,284.86285,1378.4697
2,246.99724,294.6831,1430.8196
3,466.25958,275.04257,1326.1199
4,175.17853,117.76698,1301.2769
5,477.63754,93.68129,1244.3201
6,129.62517,15.013634,1002.0472
7,305.778,237.62386,1262.4669
8,335.50275,105.62849,1367.8507
9,242.05156,-67.12727,1391.7678
10,386.70264,-80.08447,1322.6956
11,205.6421,-386.72565,1438.6195
12,412.74252,-382.1239,1301.4902
13,262.41418,-782.1367,1465.1902
14,397.51447,-758.93317,1383.6328
0,361.1956,427.3048,1399.8145
1,357.81494,286.81238,1377.8582
2,247.24142,297.37704,1430.3293
3,468.3885,276.24768,1325.387
4,170.35399,120.336105,1339.7098
5,500.54684,86.87424,1283.6368
6,134.84212,-11.438644,1037.579
7,290.22748,223.56279,1252.9211
8,335.54962,106.91633,1367.1587
9,241.2346,-66.09577,1390.6494
10,385.33398,-79.863655,1322.269
11,212.47836,-391.61145,1439.4415
12,407.21948,-380.19815,1297.1322
13,266.82816,-770.781,1462.1471
14,395.2076,-757.6266,1385.0803
0,359.28024,426.50232,1400.6313
1,359.26544,288.52203,1377.2584
2,245.05518,297.6397,1424.7449
3,473.4757,279.40436,1329.772
4,170.62842,110.3013,1370.3279
5,511.22806,84.12862,1301.4648
6,131.04791,-45.308304,1068.1482
7,276.00967,205.617,1256.9993
8,337.76224,105.923584,1360.6007
9,248.18747,-71.240555,1372.2458
10,384.3306,-82.10918,1315.6401
11,242.8847,-372.22046,1397.872
12,400.64548,-382.5299,1287.5073
13,270.3717,-759.6582,1469.3998
14,391.53006,-759.4397,1378.401
0,358.52576,426.1683,1401.8354
1,360.39655,288.4074,1379.9198
2,247.06111,296.58856,1431.8203
3,473.73196,280.22626,1328.0193
4,170.65146,107.13011,1389.0
5,513.39465,80.38818,1304.8545
6,126.752625,-71.17561,1108.6088
7,282.95908,171.44662,1225.1526
8,339.25003,107.8546,1362.2028
9,245.4859,-67.4563,1377.7401
10,390.72113,-77.940155,1311.2313
11,249.70178,-382.99872,1377.2858
12,409.01086,-389.5585,1322.2906
13,270.5755,-754.60144,1468.1451
14,393.59283,-761.2781,1388.9166
0,358.45456,426.8175,1401.2502
1,363.30063,291.2799,1380.3015
2,248.61685,300.143,1433.3047
3,477.9844,282.4168,1327.2983
4,173.88188,109.29224,1401.9847
5,514.1481,76.44455,1301.5051
6,124.10469,-99.55771,1152.5997
7,292.29208,126.75402,1191.8008
8,341.3548,110.23621,1363.0908
9,245.02878,-65.059166,1380.2563
10,393.78915,-76.55581,1311.5039
11,250.01518,-385.08252,1371.6208
12,404.63,-391.78677,1309.7386
13,268.9907,-751.4535,1469.1407
14,397.7682,-764.58215,1391.6112
0,357.2202,427.42108,1399.4832
1,362.89856,291.61575,1380.0858
2,248.95639,300.46533,1435.0863
3,476.84076,282.76617,1325.0853
4,183.64363,98.645615,1433.9717
5,517.0645,76.6716,1303.307
6,120.79428,-119.96762,1204.8082
7,320.25522,77.116135,1158.2294
8,340.85345,112.12001,1363.2968
9,245.92842,-61.715347,1381.6871
10,391.68823,-73.03612,1311.3282
11,248.58067,-385.06647,1381.3306
12,403.8772,-394.19574,1304.1266
13,262.00507,-754.016,1473.9008
14,400.88303,-767.4275,1393.1678
0,355.2883,427.50534,1398.8794
1,362.28372,291.34485,1382.2632
2,247.60631,299.8584,1439.0381
3,476.96112,282.83133,1325.4883
4,191.56775,83.74246,1465.4336
5,520.5574,74.290146,1307.2631
6,115.90712,-142.41136,1243.1653
